Fiscal_Year,Nuclear_Gen_GWh,Hydel_Gen_GWh,Thermal_Gen_GWh,Bagasse_Gen_GWh,Solar_Gen_GWh,Wind_Gen_GWh,Total_Gen_GWh,Solar_Cap_MW,Total_Cap_MW,GVA_Investment_Millions,Subsidy_Millions,Punjab_Total_Gen_GWh,Sindh_Total_Gen_GWh,KP_Total_Gen_GWh,Balochistan_Total_Gen_GWh,Punjab_Solar_Gen_GWh,Sindh_Solar_Gen_GWh,Solar_Gen_Share_Pct,Total_Utilization_Pct,Solar_Utilization_Pct
2007,2284.0,31887.0,65713.0,11.0,0.0,0.0,99895.0,0,19670,85896.0,42617.0,37470.0,26089.0,17498.0,12646.0,0.0,0.0,0.0,57.97426951085607,0.0
2008,3077.0,28704.0,66355.0,15.0,0.0,0.0,98151.0,0,19774,125756.0,133254.0,,,,,,,0.0,56.66254705570204,0.0
2009,1618.0,28180.0,65345.0,23.0,0.0,0.0,95166.0,0,20020,127515.0,111640.0,,,,,,,0.0,54.26422892176317,0.0
2010,2894.0,28521.0,68918.0,36.0,0.0,0.0,100369.0,0,21223,186540.0,179526.0,,,,,,,0.0,53.986940591935564,0.0
2011,3418.0,32135.0,66167.0,53.0,0.0,0.0,101773.0,0,22674,394396.0,343144.0,,,,,,,0.0,51.23896257576618,0.0
2012,5265.0,28906.0,65297.0,16.0,0.0,6.0,99490.0,0,23401,412215.0,464256.0,,,,,,,0.0,48.533421375467114,0.0
2013,4553.0,30397.0,65415.0,25.0,0.0,6.0,100396.0,0,23673,459680.0,349287.0,,,,,,,0.0,48.41266672414694,0.0
2014,5090.0,32210.0,70049.0,96.0,0.0,265.0,107710.0,0,24687,382078.0,309417.0,,,,,,,0.0,49.80622230508616,0.0
2015,5804.0,32867.0,70123.0,441.0,0.0,460.0,109695.0,0,24448,434822.0,221000.0,,,,,,,0.0,51.21997821487485,0.0
2016,4602.0,34573.0,74287.0,632.0,207.0,791.0,115092.0,400,26651,474120.0,171205.0,,,,,,,0.1798561151079137,49.29779807280613,5.907534246575342
2017,6867.0,32132.0,81107.0,1011.0,654.0,1421.0,123192.0,400,31537,452570.0,118000.0,,,,,,,0.530878628482369,44.592109898310355,18.664383561643834
2018,9849.0,27729.0,93948.0,1020.0,714.0,2124.0,135384.0,436,35138,345434.0,114976.0,,,,,,,0.5273887608580039,43.98313654888709,18.694231494281766
2019,9134.0,32359.0,89426.0,920.0,772.0,3232.0,135843.0,505,38055,529167.0,230400.0,,,,,,,0.5683031146249714,40.74941999953204,17.4510601745106
2020,9898.0,38700.0,81539.0,571.0,858.0,2891.0,134457.0,555,40211,675752.0,236500.0,,,,,,,0.6381222249492403,38.17107906478259,17.64778477107244
2021,11090.0,38936.0,89299.0,711.0,911.0,2900.0,143847.0,555,40606,577759.0,366350.0,59609.0,38241.0,19935.0,14466.0,712.0,199.0,0.633311782657963,40.439566593505646,18.737915998189973
