Date,Solar_Gen_GWh
2015-07-31,12.67
2015-08-31,14.74
2015-09-30,15.01
2015-10-31,14.05
2015-11-30,10.45
2015-12-31,10.87
2016-01-31,9.0
2016-02-29,13.83
2016-03-31,14.73
2016-04-30,15.16
2016-05-31,29.85
2016-06-30,46.41
2016-07-31,57.51
2016-08-31,52.0
2016-09-30,61.87
2016-10-31,56.41
2016-11-30,45.34
2016-12-31,43.16
2017-01-31,38.89
2017-02-28,54.2
2017-03-31,62.87
2017-04-30,62.76
2017-05-31,62.85
2017-06-30,54.29
2017-07-31,56.63
2017-08-31,59.76
2017-09-30,61.94
2017-10-31,82.82
2017-11-30,42.2
2017-12-31,48.78
2018-01-31,54.8
2018-02-28,54.6
2018-03-31,70.88
2018-04-30,79.83
2018-05-31,63.62
2018-06-30,57.05
2018-07-31,61.52
2018-08-31,63.67
2018-09-30,64.38
2018-10-31,61.44
2018-11-30,48.03
2018-12-31,52.93291
2019-01-31,43.2
2019-02-28,52.94
2019-03-31,66.9
2019-04-30,66.5
2019-05-31,69.08
2019-06-30,63.92
2019-07-31,60.15
2019-08-31,61.81
2019-09-30,62.0
2019-10-31,61.58
2019-11-30,49.18
2019-12-31,43.36
2020-01-31,44.84
2020-02-29,61.0
2020-03-31,64.0
2020-04-30,68.0
2020-05-31,67.0
2020-06-30,64.0
2020-07-31,63.23
2020-08-31,60.04
2020-09-30,61.745746
2020-10-31,23.82
2020-11-30,26.128
2020-12-31,20.003
2021-01-31,47.92081
2021-02-28,13.369
2021-03-31,20.885
2021-04-30,68.024
2021-05-31,66.53917
2021-06-30,63.09401
2021-07-31,61.81996
2021-08-31,67.005
2021-09-30,60.754
2021-10-31,63.16523
2021-11-30,50.615
2021-12-31,45.179
2022-01-31,46.58
2022-02-28,58.124
2022-03-31,68.731
2022-04-30,87.3
2022-05-31,89.9
2022-06-30,86.3
2022-07-31,70.8
2022-08-31,73.4
2022-09-30,81.7
2022-10-31,79.1
2022-11-30,79.0
2022-12-31,69.46
2023-01-31,72.16
2023-02-28,82.26
2023-03-31,110.729
2023-04-30,125.798
2023-05-31,124.06
2023-06-30,105.06
2023-07-31,75.19
2023-08-31,84.071
2023-09-30,78.793
