Video_Title,Comment_ID,Published_At,Like_Count,Comment,Comment_Length_raw,Comment_Length
Pakistan Ends Net-Metering: What the New Solar Rules Mean | Dawn News English,UgyaVOHzmGsForN7Ma14AaABAg,2026-02-11 17:38:36+00:00,7,"😂😂
We boycott National Grid. Why become slave when you can be free",66,66
Pakistan Ends Net-Metering: What the New Solar Rules Mean | Dawn News English,UgyVA9Wc3cCnwX3BiUV4AaABAg,2026-02-13 18:58:38+00:00,3,"1:46, If fragile power system is fragile & costly to maintain then leave it stop investing in it and subsidize Advance Solar -> Panels, Inverters, & Lithium/Sodium Batteries and everything related to Solar; Remove taxes, customs etc and subsidize these things invite companies to Pakistan and produce everything here so everything can be cheap moreover 37-55 rs/unit is household price, for commercial use electricity cost is even more; But, real problem is Haram eating & corruption else are just excuses for Haram eating; If they really cared about people they would had subsidized everything related to solar even equipments which will run on solar energy;",659,659
Pakistan Ends Net-Metering: What the New Solar Rules Mean | Dawn News English,UgyXd_ESBvq3h9XVsKF4AaABAg,2026-02-13 09:36:03+00:00,0,"A policy favour for the elites by the elites in terms of power-show.
A policy disfavour against electric vehicle.",113,113
Pakistan Ends Net-Metering: What the New Solar Rules Mean | Dawn News English,Ugwphwyu5Eppw3oR5Q14AaABAg,2026-02-11 15:59:49+00:00,0,Solar is still worth it through hybrid means however net metering is now not worth it.,86,86
Government Confirms Grid Unaffected by Solar | Dawn News English,UgwL-xdV5cstXgn-Fb54AaABAg,2025-12-01 07:52:26+00:00,0,saly smj ni ayi,15,15
Government Confirms Grid Unaffected by Solar | Dawn News English,UgyS2oWpE5QjGMAzjMl4AaABAg,2025-11-24 10:32:45+00:00,0,Now government imposed new tax on solar consumers,49,49
"On Farmland And On Rooftops, Iraqis Turn To Solar As Power Grid Falters",UgwKE_CDyob-04mfitl4AaABAg,2025-10-04 22:12:13+00:00,0,Well done,9,9
Will 18% GST Kill Pakistan’s Solar Dream? | Dawn News English,UgwpD65mUlEvyvQESTB4AaABAg,2025-06-24 22:06:57+00:00,0,Interesting,11,11
Will 18% GST Kill Pakistan’s Solar Dream? | Dawn News English,UgwxRYaEUqPjKvOPtux4AaABAg,2025-06-25 10:02:39+00:00,0,Thanks,6,6
Will 18% GST Kill Pakistan’s Solar Dream? | Dawn News English,UgwuPm0xE_HyVHW79314AaABAg,2025-06-27 10:37:00+00:00,0,Its 10% now. Keep upto date,27,27
Will 18% GST Kill Pakistan’s Solar Dream? | Dawn News English,Ugxv2pS8RwJk4n6OyVh4AaABAg,2025-06-26 14:55:58+00:00,0,"Wish pakistani news is presented like this in future, rather than the usual screeming and shouting matches. 

Well done Dawn, give these next gen presenters a platform and watch your viewership grow.",199,199
Will 18% GST Kill Pakistan’s Solar Dream? | Dawn News English,UgzN07l1V9IUkq-TGSd4AaABAg,2025-06-24 18:50:20+00:00,3,Ayo yall finally hired somebody. Shes awesome.,46,46
Will 18% GST Kill Pakistan’s Solar Dream? | Dawn News English,UgzN07l1V9IUkq-TGSd4AaABAg.AJlKyACkTBZAJlxVJ5gK73,2025-06-25 00:35:47+00:00,0,She is professional,19,19
